Date,Category,Net worth (% of Total),Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1999:Q3,Next 9%,34.4,32.2,27.2,19.3,34.5,38.6,31.7,33.3,18,18.9,10.6,38.5
1999:Q3,Next 40%,33.3,35.1,46.2,42.5,16.8,47.4,13.8,32.6,46,51,35.7,28.7
1999:Q3,Bottom 50%,3.7,7.5,15.2,23,1.4,4.4,1.4,5.2,31.2,25.2,53.3,10.6
1999:Q4,Top 1%,29.7,26.3,11.8,16.7,48.9,9.6,56,26.9,4.6,4.9,0,19.1
1999:Q4,Next 9%,34,32,27.3,17.7,34,39,30.6,32.6,18.9,19.3,11.3,43.8
1999:Q4,Next 40%,32.8,34.5,46.1,42.3,15.8,47.1,12.2,35,45.2,50.3,35.5,26.8
1999:Q4,Bottom 50%,3.5,7.3,14.9,23.3,1.3,4.3,1.2,5.5,31.3,25.5,53.2,10.3
2000:Q1,Top 1%,29.7,26.3,11.9,17.1,49.1,9.6,55.9,26.3,4.5,4.9,0,15.8
2000:Q1,Next 9%,34.2,32.3,27.3,17.3,34,39.3,30.9,34.2,20,20,11.6,49.1
2000:Q1,Next 40%,32.7,34.2,46,42.2,15.6,46.9,12.1,34.1,43.7,48.6,34.7,25.3
2000:Q1,Bottom 50%,3.4,7.2,14.8,23.5,1.3,4.3,1.1,5.4,31.8,26.5,53.7,9.9
2000:Q2,Top 1%,29,25.7,12.1,17,48,9.4,54.6,26.5,4.5,4.9,0,16.8
2000:Q2,Next 9%,34.4,32.4,27.3,17.3,34.5,39.6,31.7,34.1,19.7,20.1,11.1,48
2000:Q2,Next 40%,33.2,34.6,46.2,42.1,16.2,46.8,12.5,34,43.8,48.4,35.5,24.8
2000:Q2,Bottom 50%,3.4,7.3,14.4,23.6,1.3,4.3,1.2,5.5,32,26.6,53.4,10.4
2000:Q3,Top 1%,28.9,25.5,12.1,16.9,47.4,9.2,54.3,27.2,4.5,4.9,0,16.8
2000:Q3,Next 9%,34.3,32.3,27.2,17.4,34.8,39.8,31.7,33,19.8,20.4,10.7,48.7
2000:Q3,Next 40%,33.5,34.8,46.2,42.2,16.4,46.8,12.8,34.3,43.1,47.2,36.6,24
2000:Q3,Bottom 50%,3.3,7.3,14.5,23.5,1.3,4.2,1.1,5.5,32.6,27.5,52.8,10.4
2000:Q4,Top 1%,28,24.7,12.3,16.5,45.3,8.9,52.6,29.2,4.6,5,0.2,19.7
2000:Q4,Next 9%,34.6,32.4,27.4,17.9,35.7,39.9,32.3,32.1,18.8,19.9,9.6,44.8
2000:Q4,Next 40%,34,35.5,46.2,42.2,17.6,47.1,13.9,33.4,44.8,48.9,38.2,23.9
2000:Q4,Bottom 50%,3.4,7.4,14,23.5,1.4,4.2,1.2,5.3,31.9,26.3,52,11.7
2001:Q1,Top 1%,27,23.8,12.7,15.8,43.1,8.2,50.5,30.8,4.8,5,0.5,23.2
2001:Q1,Next 9%,34.8,32.4,27.4,18.7,36.7,40.1,32.5,31.7,18,19.7,8.8,40.6
2001:Q1,Next 40%,34.9,36.4,46.6,42.3,18.8,47.7,15.6,32.2,45.5,49.6,38.5,23.5
2001:Q1,Bottom 50%,3.3,7.4,13.3,23.3,1.5,4,1.3,5.3,31.7,25.7,52.3,12.7
2001:Q2,Top 1%,27,23.9,12.6,16.3,43.2,7.7,51.9,29.9,4.8,5.1,0.4,23.6
2001:Q2,Next 9%,35.1,32.6,27.6,18.3,36.9,40.5,31.4,32.5,17.8,19.3,9,40.6
2001:Q2,Next 40%,34.6,36.2,46.5,42.3,18.5,48,15.5,32.2,46.1,50.5,38.2,23
2001:Q2,Bottom 50%,3.3,7.3,13.4,23.2,1.5,3.9,1.2,5.3,31.3,25.1,52.4,12.7
2001:Q3,Top 1%,25.9,22.7,12.4,15.3,40.1,7,49.2,32,4.8,5,0.7,19.3
2001:Q3,Next 9%,35.2,32.7,27.7,19.4,38.4,40.7,32,31.8,18.5,20,7.8,47.4
2001:Q3,Next 40%,35.7,37.1,46.5,42.5,20,48.6,17.5,31,44.6,48.3,39.1,21.8
2001:Q3,Bottom 50%,3.1,7.5,13.4,22.7,1.5,3.7,1.3,5.2,32.1,26.7,52.4,11.5
2001:Q4,Top 1%,26.7,23.5,12.8,15.8,42.2,6.9,51.3,31.6,5,5.2,0.8,25.3
2001:Q4,Next 9%,35,32.3,27.5,18.9,37.2,41.1,30.7,30.8,16.9,18.5,8.1,40
